Year,State,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
2004,KARNATAKA,1416942,1278542,2695484,831911,719278,1551189
2004,KARNATAKA,1113038,1020541,2133579,621261,536076,1157337
2004,KARNATAKA,852868,767484,1620352,436989,363643,800632
2004,KARNATAKA,604908,593842,1198750,437500,418567,856067
2004,KARNATAKA,603202,586771,1189973,447813,404932,852745
2004,KARNATAKA,750875,727843,1478718,507433,449675,957108
2004,KARNATAKA,549464,552020,1101484,400425,389779,790204
2004,KARNATAKA,546731,591667,1138398,368354,410191,778545
2004,KARNATAKA,644305,648573,1292878,464634,445469,910103
2004,KARNATAKA,558434,562893,1121327,416589,400459,817048
2004,KARNATAKA,636546,621407,1257953,465123,421171,886294
2004,KARNATAKA,616079,591294,1207373,440038,392085,832123
2004,KARNATAKA,624171,580182,1204353,433505,431511,865016
2004,KARNATAKA,642315,608263,1250578,435253,374563,809816
2004,KARNATAKA,685575,668607,1354182,474435,417897,892332
2004,KARNATAKA,601433,582842,1184275,441051,395401,836452
2004,KARNATAKA,664623,660206,1324829,452236,414002,866238
2004,KARNATAKA,679490,648835,1328325,417863,370674,788537
2004,KERALA,557500,602634,1160134,437944,460802,898746
2004,KERALA,522202,566690,1088892,418202,440184,858386
2004,KERALA,517429,575397,1092826,392722,433332,826054
2004,KERALA,540957,569192,1110149,401344,377876,779220
2004,KERALA,612925,649277,1262202,454246,450289,904535
2004,KERALA,557292,614765,1172057,368549,360889,729438
2004,KERALA,542428,570716,1113144,412358,406502,818860
2004,KERALA,513919,578223,1092142,390556,414929,805485
2004,KERALA,466350,524383,990733,336555,349553,686108
2004,KERALA,496412,527738,1024150,362961,358997,721958
2004,KERALA,525442,543689,1069131,349141,308750,657891
2004,KERALA,493309,490744,984053,393586,350606,744192
2004,KERALA,478098,485788,963886,334339,369147,703486
2004,KERALA,515211,519127,1034338,380310,347654,727964
2004,KERALA,468073,503081,971154,363603,364553,728156
