State_Code,Constituency,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
S12,CHHINDWARA,605865,548384,1154249,454997,374396,829393
S12,HOSHANGABAD,700537,596867,1297404,433518,276427,709945
S12,VIDISHA,667491,565903,1233394,354479,201301,555780
S12,BHOPAL,779843,681871,1461714,388301,270101,658402
S12,RAJGARH,665195,595867,1261062,409396,239778,649174
S12,DEWAS,681662,615651,1297313,468078,310078,778156
S12,UJJAIN,652518,601168,1253686,390950,276476,667426
S12,MANDSOUR,712298,658769,1371067,450938,314240,765178
S12,RATLAM,635540,616057,1251597,350560,286620,637180
S12,DHAR,616681,580491,1197172,373123,281327,654450
S12,INDORE,829643,740451,1570094,470344,326208,796552
S12,KHARGONE,650694,613084,1263778,420103,340224,760327
S12,KHANDWA,708942,646383,1355325,458224,354639,812863
S12,BETUL,679956,606805,1286761,377014,259518,636532
S13,Nandurbar,726989,728554,1455543,407736,358283,766019
S13,Dhule,808302,766923,1575225,375690,293423,669113
S13,Jalgaon,804782,744609,1549391,373670,282664,656334
S13,Raver,735487,683204,1418691,400995,318827,719822
S13,Buldhana,721215,661521,1382736,469456,382884,852340
S13,Akola,768569,712037,1480606,418832,318781,737613
S13,Amravati,746464,677391,1423855,420782,311563,732345
S13,Wardha,734807,673974,1408781,437815,330717,768532
S13,Ramtek,786564,716336,1502900,437551,326681,764232
S13,Nagpur,903688,835232,1738920,421801,332908,754709
S13,Bhandara - gondiya,734698,715779,1450477,537076,492228,1029304
S13,Gadchiroli-Chimur,651543,633844,1285387,449107,386932,836039
S13,Chandrapur,796156,740196,1536352,496493,401113,897606
S13,Yavatmal-Washim,805904,748138,1554042,468477,370893,839370
S13,Hingoli,705606,664168,1369774,447849,369429,817278
S13,Nanded,738996,700019,1439015,421303,352931,774234
S13,Parbhani,827635,782453,1610088,482644,388023,870667
S13,Jalna,751156,675099,1426255,445572,351465,797037
S13,Aurangabad,744932,673032,1417964,413505,317231,730736
S13,Dindori,737206,695732,1432938,392365,289245,681610
S13,Nashik,764374,684040,1448414,379328,278522,657850
S13,Palghar,784317,738744,1523061,392920,339652,732572
S13,Bhiwandi,819720,663456,1483176,345177,239053,584230
S13,Kalyan,857032,731475,1588507,321209,223753,544962
S13,Thane,998792,808011,1806803,434477,315353,749830
S13,Mumbai North,878801,730123,1608924,394980,290439,685419
S13,Mumbai North West,895802,709190,1604992,406264,300678,706942
S13,Mumbai North East,872651,700239,1572890,385255,282570,667825
S13,Mumbai North central,938949,743036,1681985,378476,286152,664628
S13,Mumbai South central,839691,676208,1515899,339857,258948,598805
S13,Mumbai South,904733,685078,1589811,372670,269035,641705
S13,Raigad,643257,716573,1359830,361143,404016,765159
S13,Maval,850972,753914,1604886,408267,308288,716555
S13,Pune,934194,872759,1806953,404964,329406,734370
S13,Baramati,828776,764684,1593460,417889,314679,732568
S13,Shirur,859730,770736,1630466,472045,365486,837531
S13,Ahmadnagar,789897,728054,1517951,447419,339038,786457
S13,Shirdi,677888,640002,1317890,380177,283501,663678
S13,Beed,853842,783397,1637239,590386,483522,1073908
S13,Osmanabad,845884,762968,1608852,509349,414799,924148
S13,Latur,792711,717276,1509987,454610,374496,829106
S13,Solapur,825811,768327,1594138,410198,332794,742992
S13,Madha,803949,754493,1558442,499165,420545,919710
S13,Sangli,762782,727789,1490571,417638,357224,774862
S13,Satara,776784,769362,1546146,427306,388953,816259
S13,Ratnagiri - sindhudurg,582860,669395,1252255,348681,368905,717586
S13,Kolhapur,801748,781282,1583030,542371,482515,1024886
S13,Hatkanangle,743516,715044,1458560,517992,458647,976639
S14,Inner manipur,391642,435113,826755,275869,307236,583105
S14,Outer manipur,444857,464639,909496,372664,383408,756072
S15,Shillong,374713,397252,771965,227813,252477,480290
S15,Tura,254723,251051,505774,178719,163446,342165
S16,MIZORAM,311147,318227,629374,164910,154086,318996
S17,Nagaland,676722,645156,1321878,613756,575635,1189391
S18,Bargarh,692776,627498,1320274,496739,422745,919484
S18,Sundargarh,644683,604272,1248955,402150,363359,765509
S18,Sambalpur,636315,596936,1233251,421435,378750,800185
S18,Keonjhar,644748,620477,1265225,461231,429935,891166
S18,Mayurbhanj,587297,586353,1173650,415810,407059,822869
S18,Balasore,653078,616264,1269342,454618,437307,891925
S18,Bhadrak,712608,659748,1372356,468343,460449,928792
S18,Jajpur,649248,577840,1227088,428984,387313,816297
S18,Dhenkanal,678590,605018,1283608,459785,396756,856541
S18,Bolangir,747159,696325,1443484,526830,484994,1011824
S18,Kalahandi,712599,709360,1421959,573146,403752,976898
S18,Nabarangpur,602816,612837,1215653,408423,383381,791804
S18,Kandhamal,539127,526152,1065279,373939,333451,707390
S18,Cuttack,686502,597074,1283576,422945,390411,813356
S18,Kendrapara,757320,677105,1434425,507581,475421,983002
S18,Jagatsinghpur,764112,691294,1455406,510288,472957,983245
S18,Puri,694004,628813,1322817,475673,434399,910072
S18,Bhubaneswar,799628,647374,1447002,389097,321857,710954
S18,Aska,674867,611327,1286194,366391,335455,701846
S18,Berhampur,609580,597972,1207552,358765,352367,711132
S18,Koraput,588797,628971,1217768,382268,380501,762769
S19,Gurdaspur,678996,639971,1318967,472099,461206,933305
S19,Amritsar,650883,590216,1241099,437189,377334,814523
S19,Khadoor Sahib,690115,650030,1340145,484603,461957,946560
S19,Jalandhar,687150,652692,1339842,455127,444268,899395
S19,Hoshiarpur,655891,643343,1299234,411963,431163,843126
S19,Anandpur Sahib,694208,644388,1338596,459253,445835,905088
S19,Ludhiana,693114,616194,1309308,459278,387556,846834
S19,Fatehgarh Sahib,634341,573215,1207556,447501,390638,838139
S19,Faridkot,673701,614389,1288090,494056,437054,931110
S19,Ferozpur,700553,641935,1342488,510434,446246,956680
S19,Bathinda,703949,632841,1336790,558337,490976,1049313
S19,Sangrur,660913,590488,1251401,497091,433792,930883
S19,Patiala,705182,639682,1344864,498826,437145,935971
S20,Ganganagar,803392,688591,1491983,506493,402208,908701
S20,Bikaner,739809,641394,1381203,339391,230196,569587
S20,Churu,811007,721259,1532266,430374,371853,802227
S20,Jhunjhunu,759829,672752,1432581,321894,278844,600738
S20,Sikar,798057,709683,1507740,382200,341993,724193
S20,Jaipur Rural,767226,677723,1444949,387278,298992,686270
S20,Jaipur,919441,765100,1684541,474345,338387,812732
S20,Alwar,734019,639365,1373384,436516,325228,761744
S20,BHARATPUR,779002,658109,1437111,348253,211881,560134
S20,KARAULI-DHOLPUR,710265,592931,1303196,315713,171299,487012
S20,Dausa,701192,614618,1315810,480145,360797,840942
S20,TONK-SAWAI MADHOPUR,800482,709565,1510047,463896,337860,801756
S20,Ajmer,752594,702745,1455339,412875,358002,770877
S20,Nagaur,775129,711178,1486307,334921,274224,609145
S20,Pali,875476,807237,1682713,403369,317436,720805
S20,Jodhpur,800058,706763,1506821,392545,285342,677887
S20,Barmer,769256,672200,1441456,435499,348181,783680
S20,Jalore,800309,720648,1520957,338166,239185,577351
S20,Udaipur,802433,761704,1564137,402414,355346,757760
S20,Banswara,741837,716143,1457980,388804,379968,768772
S20,Chittorgarh,816968,784476,1601444,447377,346585,793962
S20,Rajsamand,764487,724744,1489231,319112,270805,589917
S20,Bhilwara,769317,723370,1492687,402004,351703,753707
S20,Kota,792388,706583,1498971,404601,277047,681648
S20,JHALAWAR-BARAN,755388,691769,1447157,501559,370762,872321
S21,Sikkim,157362,143222,300584,127201,118668,245869
S22,Thiruvallur,605882,598327,1204209,447109,402138,849247
S22,Chennai North,510120,506543,1016663,345637,314183,659820
S22,Chennai South,584432,577630,1162062,369506,358586,728092
S22,Chennai central,503372,497333,1000705,327732,282928,610660
S22,Sriperumbudur,610711,590526,1201237,426880,366717,793597
S22,Kancheepuram,533143,527045,1060188,412383,374067,786450
S22,Arakkonam,549749,548858,1098607,432958,420303,853261
S22,Vellore,504595,505472,1010067,371402,352481,723883
S22,Krishnagiri,519843,494915,1014758,395662,356903,752565
S22,Dharmapuri,547052,522549,1069601,403123,374389,777512
S22,Tiruvannamalai,527231,525356,1052587,419655,418826,838481
S22,Arani,552876,544989,1097865,423272,416025,839297
S22,Viluppuram,541799,526372,1068171,408944,386742,795686
S22,Kallakurichi,556360,549992,1106352,426277,425796,852073
S22,Salem,596384,575455,1171839,467629,427287,894916
S22,Namakkal,540515,535011,1075526,429463,415881,845344
S22,Erode,507134,502945,1010079,402123,363821,765944
S22,Tiruppur,508808,484950,993758,399100,341757,740857
S22,Nilgiris,504407,498761,1003168,374307,334851,709158
S22,Coimbatore,591518,572263,1163781,441987,380579,822566
S22,Pollachi,511106,506705,1017811,402979,366324,769303
S22,Dindigul,542520,543176,1085696,416869,402991,819860
S22,Karur,504199,508725,1012924,409776,413645,823421
S22,Tiruchirappalli,533351,533842,1067193,370505,346949,717454
S22,Perambalur,520054,528979,1049033,408907,420503,829410
S22,Cuddalore,499748,486282,986030,379306,369694,749000
S22,Chidambaram,566700,560128,1126828,430489,438125,868614
S22,Mayiladuthurai,550859,540660,1091519,404499,394028,798527
S22,Nagapattinam,494189,488163,982352,375774,386026,761800
S22,Thanjavur,523274,530844,1054118,392762,414105,806867
S22,Sivaganga,534518,557920,1092438,362834,411740,774574
S22,Madurai,511131,511290,1022421,392664,398237,790901
S22,Theni,536631,538300,1074931,402830,397532,800362
S22,Virudhunagar,491317,500734,992051,380839,385403,766242
S22,Ramanathapuram,560074,573317,1133391,364948,410513,775461
S22,Thoothukkudi,465657,483496,949153,327986,327969,655955
S22,Tenkasi,530196,533418,1063614,371665,372598,744263
S22,Tirunelveli,525032,534655,1059687,353715,346115,699830
S22,Kanniyakumari,598835,579212,1178047,378584,386702,765286
S23,Tripura West,560589,533210,1093799,492925,439382,932307
S23,Tripura East,505117,483349,988466,417465,399492,816957
S24,Saharanpur,708426,589706,1298132,469026,352092,821118
S24,Kairana,704937,577614,1282551,420798,304884,725682
S24,Muzaffarnagar,751324,618793,1370117,433141,312635,745776
S24,Bijnor,704063,583007,1287070,408557,299288,707845
S24,Nagina,650927,545639,1196566,358440,284712,643152
S24,Moradabad,753978,634547,1388525,444468,316202,760670
S24,Rampur,622769,531775,1154544,361161,245012,606173
S24,Sambhal,704630,586180,1290810,411332,270407,681739
S24,Amroha,641735,532180,1173915,405390,300678,706068
S24,Meerut,822518,686270,1508788,428625,298934,727559
S24,Baghpat,724332,556270,1280602,378194,235445,613639
S24,Ghaziabad,1037889,793799,1831688,497410,332083,829493
S24,Gautam buddh Nagar,845201,677196,1522397,440833,298143,738976
S24,Bulandshahr,810237,672512,1482749,390128,278173,668301
S24,Aligarh,744060,601291,1345351,406263,284313,690576
S24,Hathras,799816,637909,1437725,394783,253609,648392
S24,Mathura,747923,593726,1341649,435503,290692,726195
S24,Agra,856239,683444,1539683,402854,242500,645354
S24,Fatehpur sikri,748440,597302,1345742,422824,269430,692254
S24,Firozabad,782455,639788,1422243,419821,265066,684887
S24,Mainpuri,777894,621365,1399259,422566,269849,692415
S24,Etah,708523,569772,1278295,350268,217743,568011
S24,Badaun,777613,628082,1405695,440259,296919,737178
S24,Aonla,732112,578766,1310878,426944,277964,704908
S24,Bareilly,762856,638567,1401423,417125,288447,705572
S24,Pilibhit,711285,598722,1310007,486534,351312,837846
S24,Shahjahanpur,901662,726302,1627964,497420,295080,792500
S24,Kheri,701928,595160,1297088,427094,280938,708032
S24,Dhaurahra,689539,580045,1269584,459732,299862,759594
S24,Sitapur,662574,567504,1230078,419913,284999,704912
S24,Hardoi,783764,633185,1416949,370515,203552,574067
S24,Misrikh,808409,656361,1464770,381062,226467,607529
S24,Unnao,998067,820913,1818980,529413,375079,904492
S24,Mohanlalganj,804961,695276,1500237,419293,275665,694958
S24,Lucknow,889363,763760,1653123,355324,228544,583868
S24,Rae bareli,733646,645861,1379507,364940,301644,666584
S24,Amethi,752483,679304,1431787,354959,291683,646642
S24,Sultanpur,764314,666641,1430955,377507,330345,707852
S24,Pratapgarh,768492,666667,1435159,336624,304353,640977
S24,Farrukhabad,722293,583921,1306214,380234,230653,610887
S24,Etawah,787625,629242,1416867,386777,251072,637849
S24,Kannauj,835884,668392,1504276,450267,291661,741928
S24,Kanpur,772391,617664,1390055,325105,187691,512796
S24,Akbarpur,809180,651870,1461050,392238,245184,637422
S24,Jalaun,922864,762124,1684988,481017,316613,797630
S24,Jhansi,835184,726898,1562082,509705,352154,861859
S24,Hamirpur,829115,669725,1498840,436156,289294,725450
S24,Banda,767282,618983,1386265,360208,259552,619760
S24,Fatehpur,844959,691662,1536621,406434,287945,694379
S24,Kaushambi,754584,636728,1391312,310262,240728,550990
S24,Phulpur,790076,636374,1426450,327386,224674,552060
S24,Allahabad,695323,572169,1267492,324238,225916,550154
S24,Barabanki,768296,653922,1422218,450933,292597,743530
S24,Faizabad,803428,696732,1500160,422892,326178,749070
S24,Ambedkar Nagar,798620,696218,1494838,433340,377998,811338
S24,Bahraich,676592,570231,1246823,324862,187838,512700
S24,Kaiserganj,748285,627982,1376267,346589,219031,565620
S24,Shrawasti,773243,632641,1405884,376868,228518,605386
