State,State_Code,Constituency,Male_Electors,Female_Electors,Other_Electors,Total_Electors,Male_Voters,Female_Voters,Other_Voters,Total_Voters,Year
TELANGANA,S29,SECUNDERABAD GEN 8,1087006,1033414,130,2120550,537102,502572,32,1039706,2024
TELANGANA,S29,HYDERABAD GEN 9,1125479,1091630,196,2217305,562632,512302,27,1074961,2024
TELANGANA,S29,CHEVELLA GEN 10,1504909,1433868,280,2939057,853037,803647,43,1656727,2024
TELANGANA,S29,MAHBUBNAGAR GEN 11,833461,850206,42,1683709,613041,605792,16,1218849,2024
TELANGANA,S29,NAGARKURNOOL SC 12,865907,873364,39,1739310,613006,594381,19,1207406,2024
TELANGANA,S29,NALGONDA GEN 13,845548,880487,169,1726204,633596,643450,90,1277136,2024
TELANGANA,S29,BHONGIR GEN 14,899047,910115,79,1809241,702634,685904,41,1388579,2024
TELANGANA,S29,WARANGAL SC 15,896395,928700,397,1825492,626627,629460,85,1256172,2024
TELANGANA,S29,MAHABUBABAD ST 16,749256,784496,106,1533858,542304,558678,48,1101030,2024
TELANGANA,S29,KHAMMAM GEN 17,788043,843779,130,1631952,605969,635099,67,1241135,2024
ANDAMAN & NICOBAR ISLANDS,UNKNOWN,ANDAMAN & NICOBAR ISLANDS GEN 1,164572,151169,4,315745,105614,96376,2,201992,2024
CHANDIGARH,UNKNOWN,CHANDIGARH GEN 1,342176,318341,35,660552,234526,213994,27,448547,2024
DADRA & NAGAR HAVELI AND DAMAN & DIU,UNKNOWN,DAMAN & DIU GEN 1,67710,66491,0,134201,44779,47500,0,92279,2024
DADRA & NAGAR HAVELI AND DAMAN & DIU,UNKNOWN,DADAR & NAGAR HAVELI ST 2,148106,134929,0,283035,106270,98987,0,205257,2024
NCT OF DELHI,UNKNOWN,CHANDNI CHOWK GEN 1,884174,762125,168,1646467,525080,438761,54,963895,2024
NCT OF DELHI,UNKNOWN,NORTH-EAST DELHI GEN 2,1327153,1137095,149,2464397,842715,706348,56,1549119,2024
NCT OF DELHI,UNKNOWN,EAST DELHI GEN 3,1152084,969422,104,2121610,683033,578799,55,1261887,2024
NCT OF DELHI,UNKNOWN,NEW DELHI GEN 4,831520,695096,78,1526694,460308,384559,22,844889,2024
NCT OF DELHI,UNKNOWN,NORTH-WEST DELHI SC 5,1385389,1183623,262,2569274,809077,676284,64,1485425,2024
NCT OF DELHI,UNKNOWN,WEST DELHI GEN 6,1374284,1218083,131,2592498,811670,706359,46,1518075,2024
NCT OF DELHI,UNKNOWN,SOUTH DELHI GEN 7,1269141,1024221,336,2293698,713974,579455,47,1293476,2024
LAKSHADWEEP,UNKNOWN,LAKSHADWEEP ST 1,29445,28508,0,57953,24267,24363,0,48630,2024
PUDUCHERRY,UNKNOWN,PUDUCHERRY GEN 1,480876,542997,151,1024024,377919,429680,105,807704,2024
JAMMU AND KASHMIR,UNKNOWN,BARAMULLA GEN 1,882449,862042,34,1744525,547576,479502,6,1027084,2024
